,user,Calls_initiated,Average_waiting_duration,totalfees,total_free_duration_used,usual_service_type,normal_balance_after_call,latest_date,total_deducted,talk_time,calls_recieved_by_number,billable_minutes,usual_call_type,usual_charge_type,usual_terminationreason,count_of_recharges,sub_class_service,sum_of_facevalue,frequent_recharge_type,rege_card_serviceclass,Clusters
0,069438b59f6072229e753136b20f3bea,1307,16.54439614,115035,80002,PPS,409,2.02201E+13,71095,106834,265,97019,On Net Mobile Calling,Local call,on hook,16,class1,17900,recharge by SMAP or MML,class1,0
1,630a28fd6f2930599954d7451d42efa6,1307,15.37133031,193340,62125,PPS,6543,2.02201E+13,103628,101458,965,110763,On Net Mobile Calling,Local call,on hook,17,class1,26300,recharge by SMAP or MML,class1,0
2,dd86b3db05ec04b8160d1f50675d6579,1120,13.87780227,193440,35533,PPS,6653,2.02201E+13,105062,77174,1086,91116,On Net Mobile Calling,Local call,on hook,10,class5,35500,recharge by SMAP or MML,class1,0
3,6029f65ee2f37ce6bdbcd4292f381568,977,14.39974521,195675,98319,PPS,427,2.02201E+13,107264,133259,166,124452,On Net Mobile Calling,Local call,on hook,20,class1,26000,recharge by SMAP or MML,class1,0
4,dcce29a802c49fd3f8f514be1cdbd467,951,14.53683755,157475,59839,PPS,263,2.02201E+13,82791,92016,1165,105744,On Net Mobile Calling,Local call,on hook,16,class1,26200,recharge by SMAP or MML,class1,0
5,d6c7fbf48449ad60b88fe4b0824fd3f8,944,15.46354167,154470,68231,PPS,124,2.02201E+13,77810,102229,383,96215,On Net Mobile Calling,Local call,on hook,13,class1,20700,recharge by SMAP or MML,class1,0
6,e280bd1f528a0e8db4e59ce1537cd6e1,919,14.30119257,129265,52860,PPS,822,2.02201E+13,80969,80462,506,77792,On Net Mobile Calling,Local call,on hook,14,class1,20600,recharge by SMAP or MML,class1,0
7,cdc0175aa23ab54c6b919f50b642d886,910,14.39534985,120545,63896,PPS,3084,2.02201E+13,75237,87898,1008,96704,On Net Mobile Calling,Local call,on hook,11,class1,25700,recharge by SMAP or MML,class1,0
8,3b139e10843adfa5d662834a20627a54,848,13.40114553,121150,61197,PPS,1125,2.02201E+13,64370,88333,88,82331,On Net Mobile Calling,Local call,on hook,8,class1,13000,recharge by SMAP or MML,class1,0
9,647c3a3909fac6109955ceeb73199dc3,837,15.17774633,71260,64617,PPS,907,2.02201E+13,66320,83703,230,71658,On Net Mobile Calling,Local call,on hook,12,class1,20300,recharge by SMAP or MML,class1,0
10,4c961dc31043c1614aa6876d2b81a971,836,12.11029683,42685,26893,PPS,104,2.02201E+13,31180,43347,174,43182,On Net Mobile Calling,Local call,on hook,5,class1,2900,recharge by SMAP or MML,class1,3
11,d6f0c3aa48daa511e8cd5d13de99084b,833,14.21207019,86375,33752,PPS,2002,2.02201E+13,80375,47431,1451,64510,On Net Mobile Calling,Local call,on hook,9,class1,20600,recharge by SMAP or MML,class1,0
12,25b82421ff4760a7dd2fcf72ece40bef,818,15.84597313,50080,46735,PPS,108,2.02201E+13,46332,60121,181,51749,On Net Mobile Calling,Local call,on hook,12,class1,15600,recharge by SMAP or MML,class1,0
13,d3b57bbecd28d0846e6f0c13a282dad9,812,14.52264957,82395,50881,PPS,17,2.02201E+13,35605,72827,183,65530,On Net Mobile Calling,Local call,on hook,10,class1,13000,recharge by SMAP or MML,class1,0
14,b39950b869922b66861bcabb591373d5,804,14.44130389,71025,33808,PPS,268,2.02201E+13,36565,50573,393,48893,On Net Mobile Calling,Local call,on hook,6,class1,7800,recharge by SMAP or MML,class1,0
15,027b59750dc330ab640e0b2b2d3b6843,802,14.35667855,81125,32066,PPS,2244,2.02201E+13,44869,47819,475,47444,On Net Mobile Calling,Local call,on hook,7,class1,10500,recharge by SMAP or MML,class1,0
16,3c5e738989a3895d0fcad4126dd7a719,798,16.18171154,80720,46331,PPS,2235,2.02201E+13,49520,63347,345,65776,On Net Mobile Calling,Local call,on hook,12,class1,16600,recharge by SMAP or MML,class1,0
17,bde51a72bfbc54ede9fb288b8dbcfd30,798,11.79147873,164790,82748,PPS,164,2.02201E+13,92446,117319,84,110516,On Net Mobile Calling,Local call,on hook,15,class1,23800,recharge by SMAP or MML,class1,0
18,7acec43212f329c5a6c6823d8461eec7,795,15.55615147,96835,53198,PPS,260,2.02201E+13,52138,73011,445,72442,On Net Mobile Calling,Local call,on hook,12,class1,18000,recharge by SMAP or MML,class1,0
19,ee37ced1957fabd0ddbd19e6621cfed8,775,17.45241935,147935,76441,PPS,366,2.02201E+13,83022,103615,425,100996,On Net Mobile Calling,Local call,on hook,14,class1,20800,recharge by SMAP or MML,class1,0
20,23df58b8d927ddc63e0e0cc1d37d7a7e,774,13.21089822,78555,29511,PPS,116,2.02201E+13,48295,44514,386,44458,On Net Mobile Calling,Local call,on hook,15,class1,21700,recharge by SMAP or MML,class1,0
21,cdbb3bbfda88c139aafc8de213e7cf3c,765,13.5036464,41775,21846,PPS,271,2.02201E+13,28935,31258,377,29963,On Net Mobile Calling,Local call,on hook,4,class1,5200,recharge by SMAP or MML,class1,3
22,39d6b462fc3ae538e69a6a79d992a1d8,761,14.66329834,137800,106033,PPS,5260,2.02201E+13,114180,131116,301,124059,On Net Mobile Calling,Local call,on hook,12,class1,23400,recharge by SMAP or MML,class1,0
23,3f41d509e59f655e90995051929dd7f2,751,14.15882986,51460,40687,PPS,5780,2.02201E+13,49120,55157,300,50282,On Net Mobile Calling,Local call,on hook,8,class1,13000,recharge by SMAP or MML,class1,0
